date,tot,en,es,ja,ru,de,fr,pt,it,pl,zh,tr,nl,ar,sv,id,cs,th,ko,fa,uk,fi,vi,hu,no,he,ro,da,el,bg,hr,ca,sk,sr,lt,simple,ms,sl,et,sh,tl,kk,hi,ka,lv,bs,az,eo,sq,eu,ta,nn,zh_yue,mk,gl,hy,be,af,bn,arz,ml,mr,is,la,war,oc,ur,lb,be_x_old,ceb,an,te,mn,sw,cy,br,jv,uz,als,ga,ast,kn,fy,bar,nds,vo,gu,ang,su,sco,scn,tt,ckb,ne,bat_smg,my,lmo,ku,ky,io,cv,si,ia,qu,am,new,vec,pms,ht,yi,nap,pnb,yo,zh_classical,nah,mi,hif,mg,bpy,li,fo,mzn,ba,zh_min_nan,pa,km,ilo,map_bms,gd,pam,bcl,mt,os,gan,sah,nds_nl,diq,sa,co,wuu,so,dsb,as,hsb,gv,tg,wa,vls,dv,se,ce,bo,or,ksh,ps,lad,tk,mhr,rue,bug,ace,nrm,gn,fiu_vro,szl,ig,mwl,frr,stq,fur,hak,frp,nov,roa_tara,kw,ext,csb,eml,kv,lij,ay,sc,lo,bjn,rm,ab,ug,krc,pdc,crh,udm,zea,bh,cbk_zam,ln,pcd,na,myv,glk,kl,lez,ie,vep,mrj,jbo,xal,pag,tpi,koi,av,pap,kab,rw,sn,zu,bxr,kbd,bm,roa_rup,chr,kaa,mdf,cdo,tet,iu,got,kg,pih,bi,nso,srn,ss,om,dz,tn,ik,cr,sm,xh,tw,ve
03/31/2012,16239,7330,863,834,854,1042,918,276,451,197,312,81,220,151,145,110,140,68,144,182,198,80,59,117,119,164,73,65,69,60,35,82,30,46,23,45,18,59,40,5,5,18,12,12,20,11,26,21,10,45,10,11,4,11,24,16,11,7,16,4,17,10,26,5,1,4,1,1,4,0,3,5,1,4,0,1,2,7,2,3,1,8,1,1,2,1,1,0,0,3,0,1,1,2,0,1,0,2,7,1,2,2,1,1,1,0,0,0,1,0,0,1,0,3,1,1,0,0,1,2,3,0,2,0,0,8,1,0,1,1,0,2,1,2,0,3,1,2,1,0,1,1,5,0,1,4,0,1,0,0,0,4,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,2,2,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,1,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
02/29/2012,15953,6884,938,744,768,1075,926,303,631,206,383,127,212,149,130,83,125,61,147,167,161,107,53,123,110,147,97,48,79,96,40,88,35,49,23,38,18,50,33,2,8,11,18,15,12,8,22,16,5,15,14,11,12,17,15,11,12,11,19,1,12,7,19,13,5,4,1,2,9,2,4,9,2,1,3,5,2,2,1,1,2,6,4,0,0,3,3,0,1,3,2,1,1,2,0,1,1,5,6,2,3,4,4,1,0,0,0,1,2,1,1,1,1,2,1,0,1,0,0,1,1,0,1,0,2,0,0,0,1,0,1,1,1,3,0,0,0,3,1,1,2,0,4,1,0,1,0,1,1,1,0,2,2,1,2,0,1,0,0,0,1,0,0,0,0,1,1,4,1,1,0,0,1,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0
01/31/2012,16918,7067,1025,759,896,1108,990,327,657,232,334,103,254,179,144,103,166,54,198,240,164,117,68,116,132,125,125,66,73,70,53,124,35,53,27,43,24,76,51,10,5,14,22,8,17,10,22,11,10,19,22,7,10,23,14,13,17,4,9,1,18,13,6,14,1,3,3,8,11,1,5,14,8,4,3,6,1,2,2,6,2,8,2,2,1,1,4,0,0,1,1,3,1,4,0,0,2,4,4,2,3,4,1,3,0,0,4,1,3,1,3,1,2,1,1,0,1,1,0,0,1,0,0,5,0,2,0,2,0,0,2,1,2,2,5,1,2,8,0,2,4,0,3,1,0,0,1,1,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12/31/2011,15737,7016,961,590,751,933,817,334,502,193,276,110,245,165,149,97,141,57,200,183,158,112,76,93,99,114,102,60,93,70,33,135,26,83,24,40,29,67,53,5,14,17,14,17,9,0,23,21,12,23,14,9,12,17,15,13,6,3,12,2,22,18,5,5,3,5,4,3,8,1,6,2,12,2,4,4,2,2,2,2,1,7,6,3,2,1,3,0,3,3,0,7,4,3,0,2,0,5,27,3,0,6,3,3,0,0,1,1,1,2,0,0,1,1,0,0,1,1,1,1,1,0,3,0,0,19,0,0,0,0,0,0,0,1,0,2,0,3,2,0,1,0,6,0,0,0,0,2,1,1,1,5,1,0,2,1,1,0,0,0,2,1,0,0,1,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
11/30/2011,15876,7224,908,689,732,968,864,277,439,176,273,93,248,169,150,82,118,54,173,154,168,91,51,106,110,96,72,55,80,47,28,139,29,35,27,38,31,45,252,8,18,24,19,9,13,10,24,24,10,8,15,13,3,12,12,14,9,6,8,5,10,12,6,7,1,4,1,5,7,0,1,7,19,3,8,3,1,1,0,4,2,10,0,0,1,1,3,1,0,2,2,0,2,3,0,1,0,4,15,1,1,61,1,0,1,0,0,3,0,0,2,1,1,2,2,1,2,0,1,1,1,0,3,0,0,24,3,2,0,0,0,2,1,0,1,1,2,3,0,1,3,0,3,1,0,0,1,1,0,0,1,11,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0
10/31/2011,15718,7422,901,706,676,949,836,270,445,205,297,89,209,204,153,94,131,78,209,122,142,105,80,98,122,111,80,57,50,45,28,87,27,38,31,25,18,44,44,11,10,27,10,8,21,10,29,14,12,18,14,11,4,9,12,19,9,7,11,3,11,8,7,13,0,3,1,4,10,1,4,5,4,1,3,6,1,1,3,2,1,3,0,2,2,1,3,1,2,3,1,1,1,4,1,5,1,3,13,1,1,4,2,2,0,0,3,0,0,1,2,1,1,0,2,0,0,0,0,0,2,1,0,0,2,2,1,0,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,1,0,3,1,2,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0
09/30/2011,15098,7090,929,651,658,915,837,287,533,184,293,112,230,171,144,84,98,98,165,127,110,81,56,95,105,110,56,55,66,51,19,71,22,40,21,34,21,16,22,8,7,8,6,10,12,7,23,11,12,10,21,11,7,14,11,8,7,6,6,7,13,8,2,10,3,3,0,6,4,1,2,7,8,4,5,1,2,1,2,0,3,1,2,2,1,0,0,0,33,4,2,1,3,3,0,1,0,1,4,3,2,4,2,1,0,0,1,1,1,0,1,0,0,0,0,0,3,1,2,0,1,0,2,0,0,1,0,1,1,0,0,3,2,0,1,2,0,4,2,0,2,0,6,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
08/31/2011,16618,7639,952,752,769,1055,919,315,523,216,348,131,284,164,163,93,131,66,154,179,124,103,79,123,124,173,86,66,51,50,37,47,34,42,28,33,24,22,15,11,8,30,16,18,13,9,27,13,12,10,8,14,1,7,15,11,11,7,15,4,13,5,14,6,1,3,3,4,6,1,8,4,7,2,7,2,3,2,2,5,0,0,2,4,2,3,2,1,1,1,1,2,1,2,0,1,2,5,1,2,1,7,4,1,0,0,1,5,2,1,1,2,1,2,0,0,2,2,0,1,0,0,1,2,1,5,0,0,1,0,0,0,2,0,4,1,1,4,2,0,3,1,4,0,0,1,2,0,0,2,0,2,0,2,0,0,0,0,1,0,0,1,1,0,2,0,0,2,0,1,1,1,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,0,5,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2011,16317,7638,959,608,747,1043,871,345,563,242,331,110,261,164,141,97,126,69,162,166,121,93,62,108,99,145,92,49,54,57,35,60,31,45,32,44,20,25,10,8,8,25,14,13,13,3,29,28,13,13,14,16,7,11,9,6,5,6,14,3,14,4,11,9,1,5,9,7,7,2,2,8,3,2,4,2,2,3,2,1,2,3,1,0,2,2,3,0,3,2,3,2,2,4,1,2,2,4,0,1,0,2,1,2,0,0,2,0,0,2,5,2,1,1,2,1,0,0,0,2,0,1,1,1,5,8,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,3,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0
06/30/2011,16503,7724,900,608,758,1022,835,338,556,208,265,132,281,139,129,153,128,43,153,150,121,88,69,115,116,129,92,66,59,54,47,95,29,44,23,43,23,95,22,9,20,199,14,12,13,10,20,10,13,6,15,5,6,15,13,13,8,3,10,2,19,5,10,9,0,6,4,8,8,2,0,4,2,0,5,4,14,2,4,0,1,2,1,1,4,2,3,1,1,1,0,2,2,1,1,5,0,0,1,0,0,4,6,1,0,0,5,1,0,0,0,0,1,1,2,0,1,3,0,0,0,0,1,1,0,7,1,1,0,1,0,2,1,0,2,0,1,6,0,0,4,1,3,0,0,1,0,2,0,3,0,3,3,1,2,1,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/31/2011,16806,7900,901,668,807,1018,896,311,527,213,275,124,270,126,162,84,121,59,225,107,150,104,83,110,149,117,80,70,77,47,40,109,30,43,30,46,15,151,37,5,8,6,23,4,27,9,23,19,40,10,8,10,5,19,19,29,9,3,7,3,19,2,11,9,0,7,1,2,6,0,5,9,2,7,2,2,2,5,4,2,3,1,1,4,0,2,3,0,3,2,1,4,2,3,0,2,1,3,6,2,0,3,0,1,0,1,1,5,0,1,1,0,0,1,0,0,1,2,0,0,4,0,0,0,0,3,1,1,0,0,2,5,1,0,0,1,0,5,0,2,0,0,0,0,2,1,1,0,1,9,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
04/30/2011,16666,8355,858,604,831,992,860,298,511,198,271,120,257,107,154,73,155,51,128,123,135,116,60,101,148,125,81,60,68,35,36,100,22,37,24,40,11,61,33,5,4,9,14,12,16,5,25,13,21,4,13,8,7,5,11,9,9,1,10,2,14,5,13,6,1,2,4,1,5,1,4,5,3,2,1,9,19,0,7,1,0,7,1,4,0,1,2,1,0,1,2,3,3,1,0,1,2,4,3,0,0,8,0,2,1,0,2,0,0,3,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,1,1,0,6,2,0,0,1,1,1,2,0,0,0,1,3,0,1,0,0,3,3,1,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,2,0,0,3,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03/31/2011,18194,8727,924,660,875,1250,953,344,529,244,253,130,279,122,171,136,204,64,125,141,183,113,68,123,155,120,92,84,60,41,40,138,28,39,36,44,31,92,23,7,14,19,16,24,11,10,25,23,13,44,12,5,2,14,21,18,16,6,11,4,22,7,6,13,2,3,4,4,5,0,0,6,2,2,10,9,22,1,0,4,3,6,4,1,4,0,1,0,0,1,0,3,2,3,1,6,0,2,3,0,0,4,1,2,0,0,0,0,0,2,1,1,0,2,0,0,2,0,0,0,1,1,1,1,2,1,0,1,1,0,0,0,1,1,0,1,1,4,0,0,3,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,2,4,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
02/28/2011,17121,8082,853,684,874,1188,853,375,539,260,302,130,252,128,188,101,138,88,166,132,151,118,87,121,139,120,84,74,66,71,39,103,30,50,24,28,26,42,17,3,6,3,9,14,14,5,24,18,7,17,9,7,4,17,12,6,7,5,9,1,18,9,7,10,1,1,1,2,5,0,5,6,5,3,5,4,9,1,3,3,0,3,0,1,0,2,6,1,0,0,0,1,2,0,0,5,1,1,4,1,0,5,2,2,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,7,0,1,1,0,1,0,1,0,0,2,0,0,1,1,0,0,2,1,0,0,1,1,0,0,2,1,2,1,2,0,0,0,6,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
01/31/2011,18365,8059,1018,769,1050,1404,938,399,664,284,281,152,281,121,205,74,200,60,195,146,178,89,100,142,152,98,114,68,76,72,48,111,39,56,29,35,23,64,36,3,6,6,10,15,26,6,24,23,8,8,12,6,13,90,21,12,11,1,11,1,13,8,4,5,2,3,3,2,10,0,1,6,5,0,8,3,7,2,0,1,6,8,1,1,1,3,3,0,1,0,2,4,3,1,0,6,3,0,1,1,0,5,2,2,0,0,3,1,1,1,2,0,1,1,1,0,1,0,0,1,2,0,0,1,1,5,0,0,3,0,3,1,0,2,0,0,0,0,1,4,2,1,1,1,0,1,0,1,0,2,0,1,0,1,1,2,1,0,9,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2010,15867,7198,858,780,799,999,797,411,486,219,246,173,237,130,154,62,104,46,158,140,123,110,75,109,120,95,83,69,60,58,30,159,44,58,26,58,20,75,121,11,3,2,15,10,19,7,24,15,12,7,15,6,5,13,9,15,8,5,9,1,17,6,7,8,2,3,3,2,5,0,2,4,5,2,0,6,2,0,2,3,2,8,3,1,3,0,1,0,0,1,2,1,3,1,0,1,1,3,3,0,0,3,0,0,0,0,2,2,0,3,0,1,1,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,1,0,2,0,0,1,0,1,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/30/2010,15550,7203,858,658,873,989,820,331,454,205,251,102,217,144,153,42,113,40,156,116,124,96,74,112,144,98,86,76,60,49,39,168,60,33,35,41,24,36,24,7,6,4,14,15,16,8,15,25,12,6,16,15,3,10,16,10,10,1,10,4,29,4,6,13,3,2,2,2,8,1,3,6,4,3,5,6,3,0,2,3,3,8,3,2,4,1,8,2,0,1,1,1,2,2,0,0,2,1,0,1,0,6,1,0,1,0,1,3,1,0,1,0,0,1,1,1,0,0,1,1,1,0,2,0,0,0,2,2,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
10/31/2010,15979,7439,885,718,814,1026,891,343,472,205,236,137,247,138,172,49,116,63,145,149,140,102,67,94,141,94,82,80,41,45,37,131,26,32,36,45,15,41,15,5,3,3,12,11,25,9,20,20,12,13,11,9,3,6,14,8,9,4,6,3,17,5,8,5,4,2,2,5,5,1,6,8,2,1,6,6,2,1,3,1,5,7,5,1,1,1,4,0,0,3,1,8,2,3,1,6,0,3,1,1,3,42,0,0,1,2,2,1,1,1,0,1,0,2,1,0,0,0,1,1,2,1,0,0,0,0,1,1,3,0,0,0,0,1,1,2,0,2,2,0,1,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
09/30/2010,15362,7160,903,707,717,1035,809,356,514,209,236,110,222,142,157,58,104,61,103,162,101,100,79,110,116,113,80,57,49,35,32,95,26,49,19,33,15,28,27,14,1,1,17,12,18,6,21,25,10,13,17,6,3,16,7,2,12,8,10,5,5,2,15,9,5,2,5,7,8,1,1,10,5,5,6,2,1,1,3,0,4,5,1,4,1,2,3,0,0,4,6,1,1,0,0,2,0,2,1,1,3,0,0,3,3,0,0,0,0,4,1,1,2,2,0,0,4,0,1,0,1,1,1,0,2,0,1,0,2,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,4,0,2,0,0,0,0,0,2,3,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
08/31/2010,16485,7821,903,701,787,1120,900,357,558,236,285,143,259,152,151,65,89,52,133,129,115,103,76,129,117,119,80,61,42,54,40,60,36,33,18,40,25,23,18,9,6,3,21,9,13,6,13,19,7,6,24,6,3,12,15,11,8,5,17,2,14,6,15,12,3,3,4,4,9,0,4,9,3,1,9,0,3,0,1,4,1,13,2,2,1,3,1,1,0,2,2,3,2,4,0,0,0,2,0,5,0,4,1,3,0,0,0,1,3,5,1,0,1,3,2,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,0,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,1,1,0,2,0,1,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,2,3,1,0,2,0,0,0,0,3,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
